Model Path,Image,PSNR,SSIM,MSE,MAE
C:/low/ablur/model_0.pth,C:/16_Blur_l.jpg,21.91434096940759,0.721618178964286,66.57674319727892,108.94596354166667
C://low/ablur/model_1.pth,C:/16_Blur_l.jpg,22.37007970689147,0.7360604714368261,62.94686702806123,118.9054262329932
C://low/ablur/model_2.pth,C:/16_Blur_l.jpg,22.843638313503284,0.7515739339371968,66.46329586522108,102.26846168154762
C://low/ablur/model_3.pth,C:/16_Blur_l.jpg,23.869843584378483,0.7686042137146364,61.14618542729592,103.00710166879252
C://low/ablur/model_4.pth,C:/16_Blur_l.jpg,24.54465052752226,0.79472187163508,59.15683460884354,103.60619951105443
C://low/ablur/model_5.pth,C:/16_Blur_l.jpg,24.704060637526347,0.7891847236369816,60.27715773809524,100.79497502125851
C://low/ablur/model_8.pth,C:/16_Blur_l.jpg,25.839614874422793,0.8382875511786189,53.274380846088434,102.98210299744898
C://low/ablur/model_18.pth,C:/16_Blur_l.jpg,26.411117783204077,0.8447193666295574,53.026692708333336,117.8481744260204
C://low/ablur/model_20.pth,C:/16_Blur_l.jpg,26.48472521643296,0.8429248707996511,52.242207429846935,109.61350047831633
C://low/ablur/model_40.pth,C:/16_Blur_l.jpg,26.573725818390933,0.8492064299081125,52.806129092261905,104.18204586522108
C://low/ablur/model_56.pth,C:/16_Blur_l.jpg,26.728533571617824,0.8571397842695299,50.295971513605444,109.24610703656462
C://low/ablur/model_97.pth,C:/16_Blur_l.jpg,26.72677728031314,0.8520828861606908,51.732787255527214,105.22086920705782
C://low/ablur/model_116.pth,C:/16_Blur_l.jpg,26.751035225683598,0.8614904823612074,49.871359481292515,110.93029868197279
C://low/ablur/model_148.pth,C:/16_Blur_l.jpg,26.786805825948747,0.8599677326937235,52.28345556972789,122.68569302721089
C://low/ablur/model_199.pth,C:/16_Blur_l.jpg,26.752239661950913,0.8590281581799754,52.26183168579932,132.89456446641157
C://low/ablur/model_209.pth,C:/16_Blur_l.jpg,26.955170594087573,0.8668695160738604,49.977565635629254,105.29710751488095
